SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
24000001,6.40,5.50,3.40,7.00,6.25,4.50,-1,-1,-1
24000002,7.80,8.50,8.80,-1,-1,-1,7.75,7.75,9.25
24000003,7.20,9.00,9.20,-1,-1,-1,6.00,7.50,8.75
24000004,6.00,8.50,8.00,-1,-1,-1,6.75,8.25,8.50
24000005,8.00,8.50,4.40,7.75,7.00,6.50,-1,-1,-1
24000006,7.60,6.00,6.40,7.25,7.00,4.50,-1,-1,-1
24000007,8.40,6.75,3.40,3.00,8.00,8.00,-1,-1,-1
24000008,6.40,9.50,8.20,4.25,6.25,4.25,-1,-1,-1
24000009,6.60,8.25,7.20,-1,-1,-1,4.50,5.25,8.50
24000010,7.20,7.00,6.80,7.25,7.50,5.00,-1,-1,-1
24000011,6.60,8.50,6.40,-1,-1,-1,3.50,5.00,7.00
24000012,7.20,9.25,6.40,-1,-1,-1,4.50,8.00,9.25
24000013,5.00,8.25,4.60,-1,-1,-1,8.75,8.00,8.75
24000014,7.60,6.50,4.40,6.25,6.50,6.25,-1,-1,-1
24000016,7.80,7.00,5.20,4.00,8.00,8.00,-1,-1,-1
24000017,5.40,8.00,5.40,-1,-1,-1,3.75,4.75,7.00
24000018,6.80,7.00,4.40,4.25,6.00,6.00,-1,-1,-1
24000019,7.80,5.25,3.00,6.00,7.00,6.75,-1,-1,-1
24000020,6.80,6.25,3.80,4.50,4.50,7.00,-1,-1,-1
24000021,8.60,7.50,5.60,8.00,8.75,6.75,-1,-1,-1
24000022,8.00,7.00,4.00,8.00,8.00,5.25,-1,-1,-1
24000023,6.80,8.25,7.40,-1,-1,-1,6.50,7.00,8.25
24000024,5.80,9.50,8.40,-1,-1,-1,3.75,5.75,7.75
24000025,6.80,9.50,9.80,-1,-1,-1,5.50,8.00,9.50
24000026,5.20,8.00,4.60,-1,-1,-1,4.50,5.75,7.25
24000027,5.00,7.50,7.20,-1,-1,-1,5.50,6.25,9.25
24000028,6.40,8.00,4.80,7.75,6.00,5.50,-1,-1,-1
24000029,7.40,7.75,6.40,7.50,4.00,4.00,-1,-1,-1
24000030,8.20,6.00,4.60,8.00,8.25,6.50,-1,-1,-1
24000031,5.40,8.00,4.20,-1,-1,-1,4.50,8.25,8.25
24000032,6.80,7.75,3.40,5.00,9.25,8.00,-1,-1,-1
24000033,6.00,6.00,3.60,3.50,6.50,6.50,-1,-1,-1
24000034,7.20,8.25,7.40,-1,-1,-1,7.00,9.25,9.25
24000035,6.20,8.00,8.20,-1,-1,-1,5.25,6.50,8.50
24000036,5.60,8.25,9.20,-1,-1,-1,5.25,6.25,9.75
24000037,6.60,9.00,6.40,4.25,6.50,7.50,-1,-1,-1
24000038,7.40,7.75,5.80,8.75,5.25,5.75,-1,-1,-1
24000039,6.20,8.75,8.80,-1,-1,-1,5.00,6.75,9.25
24000040,6.40,8.50,7.80,-1,-1,-1,6.25,9.25,9.00
24000041,6.40,7.75,5.40,8.25,7.50,4.75,-1,-1,-1
24000042,6.40,7.75,6.00,8.00,5.00,5.50,-1,-1,-1
24000043,8.40,6.25,4.00,8.25,8.75,4.75,-1,-1,-1
24000044,7.00,7.75,6.80,-1,-1,-1,5.50,7.75,9.25
24000045,7.80,4.75,4.60,7.00,8.00,4.50,-1,-1,-1
24000046,5.60,5.50,4.60,3.25,5.00,5.75,-1,-1,-1
24000047,8.20,6.00,5.20,8.00,7.00,5.50,-1,-1,-1
24000048,7.00,3.75,4.40,8.00,7.25,4.50,-1,-1,-1
24000049,7.00,7.25,5.20,7.00,9.00,5.75,4.00,5.00,7.00
24000050,7.80,6.75,4.20,6.75,8.25,7.00,-1,-1,-1
24000051,6.80,5.75,4.20,5.75,8.00,6.75,-1,-1,-1
24000052,5.60,8.25,6.80,-1,-1,-1,2.75,4.75,7.25
24000053,7.00,8.75,8.80,-1,-1,-1,6.75,7.75,8.75
24000054,6.20,6.25,4.00,5.00,6.50,6.75,-1,-1,-1
24000055,7.00,7.25,5.20,7.50,7.00,5.25,4.75,6.75,9.00
24000056,5.60,5.00,4.20,7.75,6.50,5.75,-1,-1,-1
24000057,8.60,7.50,6.40,8.00,4.25,3.75,-1,-1,-1
24000058,4.60,7.00,3.20,-1,-1,-1,7.75,8.75,8.25
24000059,7.20,8.50,7.80,-1,-1,-1,3.75,5.00,8.00
24000060,6.40,6.75,5.40,-1,-1,-1,4.50,6.75,7.25
24000061,7.80,6.00,5.00,8.00,8.25,5.00,-1,-1,-1
24000062,6.20,8.00,5.60,-1,-1,-1,4.00,5.50,7.75
24000063,6.20,8.75,6.60,-1,-1,-1,4.75,5.00,9.00
24000064,6.00,7.25,2.40,3.50,4.75,6.75,-1,-1,-1
24000065,5.00,9.00,5.80,-1,-1,-1,6.75,8.25,7.00
24000066,7.20,8.50,9.20,-1,-1,-1,5.50,7.25,8.00
24000067,6.20,7.00,3.60,6.25,6.25,5.50,-1,-1,-1
24000068,6.20,7.75,7.80,-1,-1,-1,5.00,6.00,7.00
24000069,8.00,5.25,5.60,7.25,8.00,3.00,-1,-1,-1
24000070,8.00,6.75,3.20,8.50,6.75,3.50,-1,-1,-1
24000071,5.40,8.75,3.60,-1,-1,-1,8.00,8.25,7.25
24000072,8.00,7.25,5.40,7.75,7.25,4.75,-1,-1,-1
24000073,5.20,8.00,5.00,-1,-1,-1,4.25,5.50,6.50
24000074,6.40,7.75,4.00,-1,-1,-1,5.25,7.25,6.75
24000075,7.20,7.75,5.60,4.50,7.50,6.25,-1,-1,-1
24000076,7.20,8.50,7.20,-1,-1,-1,4.25,6.00,8.50
24000077,8.20,5.50,3.00,8.00,6.25,6.00,-1,-1,-1
24000078,7.00,5.50,5.20,6.75,7.00,8.00,-1,-1,-1
24000079,6.00,8.75,6.40,-1,-1,-1,4.50,6.00,7.50
24000080,6.00,7.00,3.60,3.50,6.00,5.50,-1,-1,-1
24000081,7.40,6.25,7.20,6.50,8.25,7.00,-1,-1,-1
24000082,6.80,8.50,7.00,-1,-1,-1,3.75,7.00,8.25
24000083,6.40,7.25,6.60,6.75,4.75,4.75,-1,-1,-1
24000084,5.80,7.75,7.80,-1,-1,-1,7.50,9.00,9.00
24000085,6.40,6.75,3.00,6.75,6.00,5.25,-1,-1,-1
24000086,6.60,4.75,3.60,6.50,5.25,2.50,-1,-1,-1
24000087,7.20,6.25,3.80,7.00,7.50,5.25,-1,-1,-1
24000088,7.20,4.75,4.60,6.00,5.50,4.00,-1,-1,-1
24000089,8.20,8.75,8.80,8.50,4.25,4.25,6.25,7.25,9.50
24000090,6.40,8.25,9.00,-1,-1,-1,5.00,5.75,7.75
24000091,6.80,8.25,6.80,-1,-1,-1,5.50,7.75,8.00
24000092,5.40,7.75,6.20,-1,-1,-1,5.50,8.00,7.75
24000093,8.80,6.00,8.20,8.00,4.00,3.25,-1,-1,-1
24000094,5.60,8.50,5.40,-1,-1,-1,4.25,6.50,7.25
24000095,7.80,6.75,1.80,8.00,7.50,3.25,-1,-1,-1
24000096,6.80,5.25,3.20,3.25,7.50,6.00,-1,-1,-1
24000097,5.80,5.50,4.60,4.25,5.75,3.00,-1,-1,-1
24000098,8.00,6.75,4.80,7.50,5.50,3.25,-1,-1,-1
24000099,5.80,6.00,7.20,3.75,3.00,4.25,5.25,6.25,9.00
24000100,8.60,7.75,5.00,6.75,8.25,8.00,-1,-1,-1
24000101,7.20,6.25,5.00,7.50,7.50,3.50,-1,-1,-1
24000102,3.80,6.50,4.00,-1,-1,-1,4.50,8.50,7.75
24000103,7.80,6.00,4.60,8.00,8.25,4.25,-1,-1,-1
24000104,8.20,6.75,4.60,8.25,6.75,4.75,-1,-1,-1
24000105,7.60,8.50,7.00,-1,-1,-1,4.25,8.00,8.50
24000106,6.20,7.25,6.00,8.75,7.75,5.50,-1,-1,-1
24000107,7.80,5.00,4.00,6.50,7.50,5.50,-1,-1,-1
24000108,7.40,9.00,8.60,-1,-1,-1,4.75,5.50,9.25
24000109,7.00,6.25,4.00,4.25,8.00,8.00,-1,-1,-1
24000110,6.60,8.75,5.40,-1,-1,-1,8.75,7.25,7.25
24000111,5.40,8.00,10.00,-1,-1,-1,5.25,7.25,9.00
24000112,6.20,9.50,7.60,-1,-1,-1,4.50,5.75,6.75
24000113,7.20,6.25,3.80,6.75,8.50,5.00,-1,-1,-1
24000114,6.60,5.75,3.00,3.50,7.25,7.75,-1,-1,-1
24000115,6.40,7.75,4.40,7.00,6.75,4.25,-1,-1,-1
24000116,7.00,7.50,3.80,7.50,4.75,3.00,-1,-1,-1
24000117,6.60,5.50,2.40,3.25,5.75,6.25,-1,-1,-1
24000118,7.00,4.25,5.80,6.25,4.25,4.50,-1,-1,-1
24000119,6.40,5.75,4.40,6.25,7.00,3.75,-1,-1,-1
24000120,7.40,7.25,5.20,6.75,7.25,6.00,-1,-1,-1
24000121,5.40,6.75,9.20,-1,-1,-1,4.25,5.25,7.00
24000122,4.40,7.75,3.20,-1,-1,-1,7.25,7.75,8.50
24000123,5.20,6.25,5.60,-1,-1,-1,3.50,5.25,6.50
24000124,7.00,4.50,4.60,3.25,7.50,7.50,-1,-1,-1
24000125,7.40,5.75,3.00,7.75,6.50,4.00,-1,-1,-1
24000126,2.60,7.00,3.00,-1,-1,-1,6.25,8.50,7.25
24000127,5.60,7.00,4.40,4.00,4.25,3.00,-1,-1,-1
24000128,7.40,6.50,8.80,7.50,3.75,4.75,5.00,7.25,7.50
24000129,7.60,7.50,7.80,8.00,4.00,5.00,-1,-1,-1
24000130,7.00,7.00,4.80,6.75,7.00,4.50,-1,-1,-1
24000131,7.00,6.25,3.60,3.75,7.00,6.75,-1,-1,-1
24000132,8.00,7.00,6.60,4.00,6.25,4.00,-1,-1,-1
24000133,6.00,5.75,2.40,4.50,5.50,4.00,2.50,4.75,7.25
24000134,7.20,5.50,6.00,3.75,7.00,7.00,-1,-1,-1
24000135,4.80,5.25,3.40,3.50,3.75,5.00,-1,-1,-1
24000136,6.00,8.50,8.00,-1,-1,-1,4.50,6.25,7.75
24000137,7.60,8.75,8.80,-1,-1,-1,5.75,8.75,9.25
24000138,6.20,9.00,6.60,-1,-1,-1,4.75,5.25,8.00
24000139,7.40,9.00,8.80,-1,-1,-1,4.00,7.00,9.00
24000140,6.40,9.50,7.40,-1,-1,-1,4.00,6.75,8.00
24000141,7.00,7.50,4.20,2.75,5.50,6.75,-1,-1,-1
24000142,6.60,9.00,8.80,-1,-1,-1,5.50,7.50,7.75
24000143,7.20,5.75,3.40,8.00,9.00,2.25,-1,-1,-1
24000144,6.60,9.75,8.40,-1,-1,-1,5.50,7.25,9.25
24000145,7.80,7.25,6.20,7.50,4.25,4.00,-1,-1,-1
24000146,7.80,8.25,8.20,8.25,5.50,6.00,-1,-1,-1
24000147,8.00,6.50,6.20,9.00,7.00,5.25,-1,-1,-1
24000148,8.00,8.75,6.40,5.50,8.25,8.00,-1,-1,-1
24000149,7.00,8.75,6.00,7.00,6.75,7.00,-1,-1,-1
24000150,8.20,5.50,3.40,8.00,8.75,5.00,-1,-1,-1
24000151,8.60,6.25,5.00,5.25,8.75,7.25,-1,-1,-1
24000152,8.00,5.50,4.40,3.00,7.25,7.50,-1,-1,-1
24000153,6.40,4.25,3.40,5.75,5.25,5.00,-1,-1,-1
24000154,3.20,7.50,5.20,-1,-1,-1,5.00,5.75,8.25
24000155,7.00,7.50,4.00,6.75,6.00,4.25,-1,-1,-1
24000156,7.40,5.50,5.00,2.25,7.50,8.00,-1,-1,-1
24000157,7.00,6.25,5.00,5.75,6.75,5.25,-1,-1,-1
24000158,7.00,9.00,8.00,-1,-1,-1,5.50,8.25,9.00
24000159,7.40,4.25,6.00,6.00,4.50,5.00,-1,-1,-1
24000160,6.60,9.00,9.40,-1,-1,-1,5.25,6.50,9.25
24000161,7.20,7.25,3.20,7.00,6.75,5.25,-1,-1,-1
24000162,7.40,7.00,4.60,6.75,7.00,5.25,-1,-1,-1
24000163,6.80,8.00,8.80,7.00,2.75,1.50,5.50,6.50,7.50
24000164,6.80,9.00,8.60,-1,-1,-1,4.25,8.25,8.75
24000165,7.20,7.00,4.20,8.00,6.50,4.75,-1,-1,-1
24000166,5.40,6.25,3.80,6.50,5.50,6.50,-1,-1,-1
24000167,6.00,6.50,3.40,4.75,6.75,5.75,-1,-1,-1
24000168,6.20,8.25,8.80,-1,-1,-1,4.75,7.75,9.00
24000169,4.20,9.00,3.60,-1,-1,-1,9.75,9.00,7.25
24000170,8.20,6.00,3.80,7.50,6.75,6.50,-1,-1,-1
24000171,5.40,6.75,5.00,-1,-1,-1,5.25,7.25,8.50
24000172,6.20,6.75,8.40,-1,-1,-1,4.75,7.25,9.25
24000173,5.80,8.75,6.20,-1,-1,-1,4.50,8.00,9.00
24000174,7.40,6.50,5.00,4.25,7.75,6.75,-1,-1,-1
24000175,5.60,7.75,6.20,-1,-1,-1,5.50,6.25,8.00
24000176,7.00,6.50,5.40,7.25,7.75,3.25,-1,-1,-1
24000177,5.60,8.25,7.00,-1,-1,-1,5.25,4.50,6.75
24000178,7.60,6.00,4.60,7.25,6.50,3.50,-1,-1,-1
24000179,7.80,7.00,5.20,8.50,7.00,5.75,-1,-1,-1
24000180,9.20,4.75,4.80,4.75,9.00,8.75,-1,-1,-1
24000181,5.40,5.00,5.60,6.50,3.75,4.75,-1,-1,-1
24000182,6.00,7.00,3.80,4.25,6.50,7.50,-1,-1,-1
24000183,8.00,6.25,5.60,7.00,7.75,5.25,-1,-1,-1
24000184,7.00,8.25,7.80,-1,-1,-1,4.50,5.50,8.25
24000185,6.20,7.00,5.80,7.25,7.25,4.75,-1,-1,-1
24000186,6.40,8.00,8.40,-1,-1,-1,6.00,7.00,8.25
24000187,4.60,8.25,5.60,-1,-1,-1,7.75,8.25,7.75
24000188,7.00,8.25,7.20,-1,-1,-1,5.25,7.75,8.75
24000189,5.80,8.00,7.60,-1,-1,-1,6.25,7.25,8.25
24000190,7.00,9.00,7.20,-1,-1,-1,4.00,6.25,8.25
24000191,7.00,6.25,7.40,7.00,7.75,4.00,-1,-1,-1
24000192,8.20,5.50,4.40,4.50,8.25,7.75,-1,-1,-1
24000193,5.60,7.25,7.20,-1,-1,-1,4.75,6.75,8.75
24000194,6.40,8.00,7.60,-1,-1,-1,5.50,5.50,8.75
24000195,5.80,8.25,5.00,-1,-1,-1,3.00,6.25,9.50
24000196,6.80,9.25,8.40,-1,-1,-1,3.25,6.00,9.00
24000197,5.60,8.75,5.00,-1,-1,-1,5.00,8.00,9.00
24000198,7.60,6.25,4.20,7.25,8.00,4.00,-1,-1,-1
24000199,7.80,6.00,2.40,7.50,6.25,5.25,-1,-1,-1
24000200,8.00,6.25,3.40,7.25,6.75,5.25,-1,-1,-1
24000201,6.40,8.25,9.60,-1,-1,-1,6.00,6.50,8.25
24000202,6.40,7.50,5.40,4.75,6.50,7.50,-1,-1,-1
24000203,6.40,5.00,5.80,8.25,4.50,5.00,-1,-1,-1
24000204,6.20,8.50,6.60,-1,-1,-1,3.75,6.25,9.00
24000205,5.60,7.75,5.60,-1,-1,-1,5.50,7.00,9.25
24000206,6.20,9.00,7.00,-1,-1,-1,4.00,6.50,10.00
24000207,5.80,6.50,4.40,7.75,7.75,4.00,-1,-1,-1
24000208,6.00,8.00,7.20,-1,-1,-1,4.50,6.25,8.50
24000209,7.00,7.00,4.80,7.75,7.50,3.50,-1,-1,-1
24000210,5.00,8.25,7.80,-1,-1,-1,6.25,6.50,8.25
24000211,7.00,4.75,5.00,7.75,7.50,4.75,-1,-1,-1
24000212,5.40,6.00,4.00,7.50,6.25,5.50,-1,-1,-1
24000213,7.20,7.50,8.40,-1,-1,-1,7.25,7.75,9.50
24000214,8.20,7.00,5.80,7.75,7.00,4.50,-1,-1,-1
24000215,6.80,9.00,9.00,-1,-1,-1,4.50,6.75,8.50
24000216,6.40,7.50,7.80,-1,-1,-1,5.75,6.75,8.75
24000217,4.80,8.50,4.20,-1,-1,-1,4.50,4.00,8.50
24000218,3.40,8.00,5.80,-1,-1,-1,8.25,9.50,8.25
24000219,6.20,6.50,4.80,4.50,5.50,3.75,-1,-1,-1
24000220,7.40,5.75,5.00,7.00,7.00,3.75,-1,-1,-1
24000221,7.40,8.50,8.60,-1,-1,-1,5.75,7.50,8.25
24000222,6.60,8.50,7.20,-1,-1,-1,5.50,7.25,8.50
24000223,5.80,8.00,7.80,-1,-1,-1,4.25,7.25,9.25
24000224,7.60,5.00,3.20,6.50,6.75,3.50,-1,-1,-1
24000225,7.00,7.50,9.80,-1,-1,-1,5.00,7.50,9.00
24000226,7.40,5.00,5.60,8.50,6.50,5.00,-1,-1,-1
24000227,7.00,6.00,6.00,6.75,4.00,3.75,-1,-1,-1
24000228,6.20,4.00,4.80,5.25,6.75,4.75,-1,-1,-1
24000229,6.60,5.75,3.80,5.25,6.25,3.75,-1,-1,-1
24000230,5.80,8.25,7.00,-1,-1,-1,6.50,7.75,8.75
24000231,6.60,8.00,8.80,-1,-1,-1,6.25,7.25,9.00
24000232,7.20,8.00,9.20,-1,-1,-1,4.75,6.25,8.75
24000233,7.00,6.75,6.00,6.50,7.75,7.50,-1,-1,-1
24000234,7.20,6.75,4.80,4.25,5.75,8.00,-1,-1,-1
24000235,6.40,8.00,6.20,-1,-1,-1,7.00,8.75,8.75
24000236,7.00,6.75,5.00,6.00,6.75,4.75,-1,-1,-1
24000237,8.40,5.75,7.60,8.75,8.00,5.50,-1,-1,-1
24000238,6.00,6.75,4.00,8.00,7.50,5.75,-1,-1,-1
24000239,6.40,6.50,4.00,3.50,6.00,6.25,-1,-1,-1
24000240,7.80,5.25,3.80,8.00,8.75,5.75,-1,-1,-1
24000241,7.00,6.00,4.80,6.00,8.25,6.25,-1,-1,-1
24000242,8.40,5.00,7.40,5.00,8.75,9.00,-1,-1,-1
24000243,7.60,5.50,3.60,7.25,6.00,2.50,-1,-1,-1
24000244,7.00,7.00,6.00,7.75,5.25,5.50,-1,-1,-1
24000245,6.20,7.25,3.80,4.00,6.50,6.50,-1,-1,-1
24000246,4.60,8.50,5.80,-1,-1,-1,8.75,8.50,7.00
24000247,6.40,9.00,5.80,-1,-1,-1,8.50,9.00,8.50
24000248,5.40,9.00,5.00,-1,-1,-1,9.50,9.00,8.25
24000249,7.20,7.75,6.00,7.00,7.75,5.25,-1,-1,-1
24000250,7.00,8.50,9.00,-1,-1,-1,6.75,8.75,8.50
24000251,6.20,8.25,7.60,-1,-1,-1,5.50,6.75,8.75
24000252,6.80,5.00,6.60,6.50,5.25,4.00,-1,-1,-1
24000253,6.80,6.00,4.60,6.75,7.00,3.50,-1,-1,-1
24000254,7.20,5.00,7.60,7.50,4.75,4.25,3.25,4.50,7.75
24000255,7.40,5.00,4.20,-1,-1,-1,6.25,5.75,7.25
24000256,7.40,6.50,8.40,5.00,7.00,4.25,-1,-1,-1
24000257,6.40,7.25,6.80,-1,-1,-1,4.50,6.50,8.50
24000258,6.20,8.00,7.80,-1,-1,-1,5.00,7.25,9.00
24000259,6.80,8.50,8.80,-1,-1,-1,5.75,8.25,8.75
24000260,7.80,7.00,5.00,7.25,8.25,5.75,-1,-1,-1
24000261,6.80,9.00,8.00,-1,-1,-1,6.50,6.25,8.25
24000263,5.80,8.75,6.40,-1,-1,-1,4.75,6.75,8.50
24000264,7.60,6.25,4.80,6.75,8.75,5.00,-1,-1,-1
24000265,7.20,5.75,3.00,7.75,5.50,4.25,-1,-1,-1
24000266,6.80,8.50,9.60,-1,-1,-1,4.50,7.75,8.75
24000267,5.20,8.75,4.60,-1,-1,-1,8.50,9.75,8.50
24000268,5.80,6.75,6.00,-1,-1,-1,4.25,7.50,8.00
24000269,7.20,8.00,7.00,-1,-1,-1,5.00,6.25,7.75
24000270,6.20,8.75,8.60,-1,-1,-1,3.75,6.50,8.50
24000271,6.00,5.75,3.80,2.75,6.75,6.50,-1,-1,-1
24000272,7.20,7.00,7.80,-1,-1,-1,3.75,7.00,7.00
24000273,6.00,7.25,4.80,-1,-1,-1,4.50,5.00,7.00
24000274,6.80,9.50,7.40,-1,-1,-1,5.00,6.75,8.25
24000275,5.80,8.00,8.00,-1,-1,-1,5.25,6.00,7.50
24000276,6.80,6.50,5.40,8.50,8.00,5.25,-1,-1,-1
24000277,7.20,8.00,9.40,-1,-1,-1,6.00,7.00,9.50
24000278,6.20,6.50,3.40,4.00,5.50,5.50,-1,-1,-1
24000279,7.80,6.50,6.00,8.25,8.00,3.25,-1,-1,-1
24000280,8.20,5.75,5.60,6.50,6.50,6.25,-1,-1,-1
24000281,7.80,5.75,6.40,7.00,3.25,2.50,-1,-1,-1
24000282,8.60,6.50,6.60,8.00,8.00,6.25,-1,-1,-1
24000283,8.20,5.25,3.80,7.25,8.50,7.25,-1,-1,-1
24000284,7.60,6.00,3.40,4.75,6.00,6.75,-1,-1,-1
24000285,8.00,5.75,5.00,5.75,7.25,7.25,-1,-1,-1
24000286,8.40,5.00,4.40,8.25,6.25,4.25,-1,-1,-1
24000287,7.60,6.50,7.00,8.25,5.00,5.50,5.25,7.25,8.25
24000288,7.60,6.00,4.40,7.75,7.00,4.50,-1,-1,-1
24000289,7.00,5.75,3.00,6.00,5.50,4.75,-1,-1,-1
24000290,6.00,8.00,3.20,-1,-1,-1,7.75,8.25,9.00
24000291,7.00,8.00,7.40,-1,-1,-1,5.50,6.75,8.75
24000292,6.20,8.75,6.80,-1,-1,-1,7.75,8.75,8.25
24000293,7.60,7.25,5.80,7.75,8.00,7.25,-1,-1,-1
24000294,5.80,8.25,8.00,-1,-1,-1,4.75,6.50,8.25
24000295,7.40,6.00,4.80,6.75,6.50,6.75,-1,-1,-1
24000296,7.00,5.25,4.60,7.50,8.50,4.25,-1,-1,-1
24000297,8.00,7.75,9.40,7.50,5.75,6.50,-1,-1,-1
24000298,6.40,5.50,7.60,7.00,4.25,3.25,-1,-1,-1
24000299,7.60,7.00,4.80,3.75,7.75,7.00,-1,-1,-1
24000300,5.40,8.25,6.80,-1,-1,-1,4.00,7.75,9.25
24000301,2.80,1.50,-1,-1,-1,-1,1.25,3.75,-1
24000302,5.80,7.50,6.40,-1,-1,-1,3.00,5.25,7.00
24000303,4.40,8.00,4.60,-1,-1,-1,4.25,4.50,9.00
24000304,5.00,7.75,4.20,-1,-1,-1,4.00,6.75,9.00
24000305,5.80,7.00,6.40,-1,-1,-1,6.00,7.50,8.00
24000306,6.60,6.50,4.40,7.25,5.50,6.25,-1,-1,-1
24000307,5.40,6.75,5.20,-1,-1,-1,3.00,6.00,7.00
24000308,3.40,1.50,-1,-1,-1,-1,3.25,4.50,-1
24000309,7.00,7.50,5.00,6.75,6.50,4.75,-1,-1,-1
24000310,5.80,8.00,4.80,-1,-1,-1,3.00,5.00,6.00
24000311,3.00,3.00,3.20,-1,-1,-1,2.50,5.25,7.25
24000312,4.40,3.50,3.80,4.75,2.50,4.25,2.75,4.00,6.00
24000313,7.40,6.75,3.20,6.00,5.00,5.25,-1,-1,-1
24000314,2.20,3.00,-1,-1,-1,-1,4.25,4.25,-1
24000315,3.00,5.75,3.60,-1,-1,-1,4.25,4.50,7.25
24000316,5.00,5.00,3.20,3.25,1.50,3.50,-1,-1,-1
24000317,7.60,7.50,5.80,6.00,7.50,4.50,-1,-1,-1
24000318,4.80,4.25,3.40,-1,-1,-1,2.25,5.75,7.25
24000319,3.40,4.75,-1,-1,-1,-1,4.25,5.50,-1
24000320,5.40,8.75,4.60,-1,-1,-1,2.75,6.50,8.00
24000321,5.60,6.50,2.40,5.75,5.00,4.75,-1,-1,-1
24000322,5.40,7.00,4.80,4.00,3.75,4.25,-1,-1,-1
24000323,3.60,4.25,-1,-1,-1,-1,5.25,5.75,-1
24000324,4.20,7.00,3.40,-1,-1,-1,5.75,5.25,7.00
24000325,3.00,4.50,-1,-1,-1,-1,2.25,4.75,-1
24000326,6.20,8.75,6.80,-1,-1,-1,2.75,5.00,6.75
24000327,5.80,8.25,5.20,-1,-1,-1,3.75,5.50,8.00
24000328,6.80,7.50,2.60,5.75,5.75,4.00,-1,-1,-1
24000329,2.20,2.50,-1,-1,-1,-1,2.00,3.50,-1
24000330,7.00,7.25,4.80,6.75,6.50,3.25,-1,-1,-1
24000331,5.20,6.50,3.20,-1,-1,-1,6.50,6.75,8.75
24000332,6.40,7.75,1.80,6.00,5.50,4.25,-1,-1,-1
24000333,3.40,6.00,2.00,3.50,3.00,4.00,-1,-1,-1
24000334,5.40,8.25,4.20,5.50,4.50,4.50,-1,-1,-1
24000335,6.60,7.00,5.60,4.50,4.75,6.00,-1,-1,-1
24000336,5.00,7.25,5.20,-1,-1,-1,3.00,6.50,7.25
24000337,6.20,7.75,5.20,-1,-1,-1,4.50,7.50,8.75
24000338,5.00,5.25,3.20,-1,-1,-1,6.00,6.75,8.00
24000339,5.80,6.25,3.20,-1,-1,-1,4.25,5.00,6.50
24000340,7.80,6.50,4.80,7.75,6.50,4.75,-1,-1,-1
24000341,6.60,7.50,5.80,6.75,6.00,4.75,-1,-1,-1
24000342,6.00,5.25,5.60,6.00,3.50,5.00,-1,-1,-1
24000343,6.20,6.75,3.40,-1,-1,-1,6.25,6.25,7.75
24000344,7.00,7.50,4.80,6.75,6.75,4.25,-1,-1,-1
24000345,6.80,7.25,8.40,-1,-1,-1,4.00,7.75,7.75
24000346,6.80,5.50,3.60,7.00,6.75,3.50,-1,-1,-1
24000347,5.40,4.25,2.40,5.75,8.25,6.25,-1,-1,-1
24000348,6.60,7.00,5.60,4.25,3.50,3.75,-1,-1,-1
24000349,6.60,5.25,3.00,7.25,6.75,4.25,-1,-1,-1
24000350,6.20,5.50,3.60,6.50,5.00,3.25,-1,-1,-1
24000351,4.00,3.75,2.40,3.75,5.00,5.25,-1,-1,-1
24000352,5.80,4.75,-1,-1,-1,-1,4.50,5.00,-1
24000353,2.60,2.25,-1,-1,-1,-1,3.25,5.00,-1
24000354,5.80,6.75,3.60,-1,-1,-1,4.75,5.25,7.25
24000355,5.00,4.00,3.80,-1,-1,-1,2.75,6.00,7.25
24000356,3.60,5.00,-1,-1,-1,-1,4.00,6.50,-1
24000357,6.40,7.50,5.40,-1,-1,-1,2.75,5.50,8.00
24000358,3.60,4.50,3.00,-1,-1,-1,2.75,5.50,6.75
24000359,6.40,6.00,7.80,6.25,6.00,5.75,-1,-1,-1
24000360,6.60,7.50,6.20,6.25,3.50,5.25,-1,-1,-1
24000361,5.80,8.25,6.60,-1,-1,-1,2.50,6.25,8.00
24000362,4.60,6.25,3.20,-1,-1,-1,5.00,6.50,8.25
24000363,6.60,4.50,6.20,7.00,4.25,4.50,-1,-1,-1
24000364,6.20,4.75,2.20,7.00,4.25,5.50,-1,-1,-1
24000365,2.40,3.75,-1,-1,-1,-1,3.00,4.75,-1
24000366,2.80,6.00,-1,-1,-1,-1,2.75,5.50,-1
24000367,2.60,3.50,-1,-1,-1,-1,3.50,5.25,-1
24000368,2.80,2.50,-1,-1,-1,-1,2.25,3.50,-1
24000369,2.00,4.75,-1,-1,-1,-1,2.50,4.75,-1
24000370,6.80,7.75,5.00,-1,-1,-1,5.25,7.00,8.50
24000371,3.00,6.00,-1,-1,-1,-1,2.75,4.50,-1
24000372,5.40,6.75,2.80,4.50,4.25,4.75,-1,-1,-1
24000373,2.20,4.75,2.60,-1,-1,-1,4.25,4.50,6.75
24000374,5.80,8.00,4.40,-1,-1,-1,5.25,4.50,8.50
24000375,3.40,4.00,-1,-1,-1,-1,4.25,6.50,-1
24000376,5.40,6.50,3.00,6.50,5.50,3.75,-1,-1,-1
24000377,6.80,6.00,4.20,7.50,7.50,5.50,-1,-1,-1
24000378,4.20,6.50,3.40,4.25,4.75,4.25,-1,-1,-1
